FECHA:   16/11/2017                                                  HOJA: 001
                LISTADO ESTADISTICO DE ALQUILERES POR MES

MARCA                   ENE FEB MAR ABR MAY JUN JUL AGO SEP OCT NOV DIC TOTAL
--------------------------------------------------------------------------------
HONDA                   000 000 000 000 000 001 000 000 000 000 000 000 0001
CITROEN                 000 000 000 001 000 002 000 000 000 000 000 000 0003
VOLKSWAGEN              001 000 000 000 000 000 001 000 000 000 000 000 0002
AUDI                    000 000 001 000 000 001 000 000 000 000 000 000 0002
FIAT                    000 000 000 000 001 000 000 000 000 000 000 000 0001
PEPE                    000 000 000 000 000 000 000 000 000 000 000 000 0000
PIPO                    000 000 000 000 001 000 000 000 000 000 000 000 0001
PEUGEOT                 000 000 000 000 000 001 000 000 000 000 000 000 0001

TOTALES                 001 000 001 001 002 005 001 000 000 000 000 000 0011
