HRK903CIVIC                         HONDA               GRIS      G190293
FRE180CT                            CITROEN             ROJO      G150045
ABC190FOX                           VOLKSWAGEN          BLANCO    M019850
KFM306POLO                          VOLKSWAGEN          GRIS      C592340
NNS192AU                            AUDI                NEGRO     C819104
JVC777PUNTO                         FIAT                VERDE     G221393
PPP999KANGOO                        BMW                 ROJO      G123345
DYP333CLIO                          RENAULT             ROSA      M123110
JFK123MERIVA                        CITROEN             AZUL      C666544
NYC556PEU                           PEUGEOT             NEGRO     C332132
